Searchÿ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Class Schedule Listing,,T00654523 Walter Daugherity,,,,,,,,,,,,,,,,,,,,
,,Fall 2017 - College Station,,,,,,,,,,,,,,,,,,,,
,,6/24/2017 16:29,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
INSTRUCTIONS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Class Restrictions:ÿTo view class restrictions, click on the Restrictions links.",,,,,,,,,,,,,,,,,,,,,,
"Course Catalog Entry:ÿTo view the course catalog entry for a course, please click on the subject.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Sections Found,,,,,,,,,,,,,,,,,,,,,,
ACCT - Accounting,,,,,,,,,,,,,,,,,,,,,,
CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,Instructorÿ,Date (MM/DD),Location,Attribute,,,,,,,
,,,,,,,,,,,,Click name to see CV,,,,,,,,,,
10001,ACCT,209,501,CS,3,SURVEY OF ACCT PRINÿ,T,08:00 am-09:15 am,430,430,0,Mary K. Stasnyÿ(P),08/28-12/13,WCBA 113,,,,,,,,
,,,,,,(Restrictions/Details),,,,,,,,,,,,,,,,
,,,,,,,R,07:15 pm-09:00 pm,,,,Mary K. Stasnyÿ(P),09/28-09/28,TBA,,,,,,,,
,,,,,,,R,07:15 pm-09:00 pm,,,,Mary K. Stasnyÿ(P),10/26-10/26,TBA,,,,,,,,
,,,,,,,R,07:15 pm-09:00 pm,,,,Mary K. Stasnyÿ(P),11/30-11/30,TBA,,,,,,,,
10002,ACCT,209,502,CS,3,SURVEY OF ACCT PRINÿ,R,08:00 am-09:15 am,430,430,0,Mary K. Stasnyÿ(P),08/28-12/13,WCBA 113,,,,,,,,
,,,,,,(Restrictions/Details),,,,,,,,,,,,,,,,
,,,,,,,R,07:15 pm-09:00 pm,,,,Mary K. Stasnyÿ(P),09/28-09/28,TBA,,,,,,,,
,,,,,,,R,07:15 pm-09:00 pm,,,,Mary K. Stasnyÿ(P),10/26-10/26,TBA,,,,,,,,
,,,,,,,R,07:15 pm-09:00 pm,,,,Mary K. Stasnyÿ(P),11/30-11/30,TBA,,,,,,,,
27822,ACCT,209,503,CS,3,SURVEY OF ACCT PRINÿ,T,08:00 am-09:15 am,25,21,4,Mary K. Stasnyÿ(P),08/28-12/13,WCBA 113,,,,,,,,
,,,,,,(Restrictions/Details),,,,,,,,,,,,,,,,
,,,,,,,R,07:15 pm-09:00 pm,,,,Mary K. Stasnyÿ(P),09/28-09/28,TBA,,,,,,,,
,,,,,,,R,07:15 pm-09:00 pm,,,,Mary K. Stasnyÿ(P),10/26-10/26,TBA,,,,,,,,
,,,,,,,R,07:15 pm-09:00 pm,,,,Mary K. Stasnyÿ(P),11/30-11/30,TBA,,,,,,,,
27824,ACCT,209,504,CS,3,SURVEY OF ACCT PRINÿ,R,08:00 am-09:15 am,25,1,24,Mary K. Stasnyÿ(P),08/28-12/13,WCBA 113,,,,,,,,
,,,,,,(Restrictions/Details),,,,,,,,,,,,,,,,
,,,,,,,R,07:15 pm-09:00 pm,,,,Mary K. Stasnyÿ(P),09/28-09/28,TBA,,,,,,,,
,,,,,,,R,07:15 pm-09:00 pm,,,,Mary K. Stasnyÿ(P),10/26-10/26,TBA,,,,,,,,
,,,,,,,R,07:15 pm-09:00 pm,,,,Mary K. Stasnyÿ(P),11/30-11/30,TBA,,,,,,,,
27159,ACCT,210,501,CS,3,MGRL & COST ACCT PRINÿ,TR,08:00 am-09:15 am,58,54,4,Robert Strawserÿ(P),08/28-12/13,WCBA 114,,,,,,,,
,,,,,,(Restrictions/Details),,,,,,,,,,,,,,,,
27160,ACCT,210,502,CS,3,MGRL & COST ACCT PRINÿ,TR,11:10 am-12:25 pm,58,58,0,Robert Strawserÿ(P),08/28-12/13,WCBA 114,,,,,,,,
,,,,,,(Restrictions/Details),,,,,,,,,,,,,,,,
10003,ACCT,229,201,CS,3,HNR-INTRO ACCOUNTINGÿ,TR,09:35 am-10:50 am,0,19,-19,James Benjaminÿ(P),08/28-12/13,WCBA 155,Honors,,,,,,,
,,,,,,(Restrictions/Details),,,,,,,,,,,,,,,,
10004,ACCT,229,202,CS,3,HNR-INTRO ACCOUNTINGÿ,R,03:00 pm-05:30 pm,0,8,-8,Jerry R. Strawserÿ(P),08/28-12/13,WCBA 290,Honors,,,,,,,
,,,,,,(Restrictions/Details),,,,,,,,,,,,,,,,
10005,ACCT,229,501,CS,3,INTRO ACCOUNTINGÿ,MW,08:00 am-09:15 am,44,44,0,Jeannie Barrettÿ(P),08/28-12/13,WCBA 104,,,,,,,,
,,,,,,(Restrictions/Details),,,,,,,,,,,,,,,,
,,,,,,,T,07:15 pm-09:00 pm,,,,Jeannie Barrettÿ(P),09/26-09/26,TBA,,,,,,,,
,,,,,,,T,07:15 pm-09:00 pm,,,,Jeannie Barrettÿ(P),10/24-10/24,TBA,,,,,,,,
,,,,,,,T,07:15 pm-09:00 pm,,,,Jeannie Barrettÿ(P),11/28-11/28,TBA,,,,,,,,
10006,ACCT,229,502,CS,3,INTRO ACCOUNTINGÿ,MW,09:35 am-10:50 am,44,44,0,Jeannie Barrettÿ(P),08/28-12/13,WCBA 104,,,,,,,,
,,,,,,(Restrictions/Details),,,,,,,,,,,,,,,,
,,,,,,,T,07:15 pm-09:00 pm,,,,Jeannie Barrettÿ(P),09/26-09/26,TBA,,,,,,,,
,,,,,,,T,07:15 pm-09:00 pm,,,,Jeannie Barrettÿ(P),10/24-10/24,TBA,,,,,,,,
,,,,,,,T,07:15 pm-09:00 pm,,,,Jeannie Barrettÿ(P),11/28-11/28,TBA,,,,,,,,
10007,ACCT,229,503,CS,3,INTRO ACCOUNTINGÿ,MW,11:10 am-12:25 pm,44,44,0,Jeannie Barrettÿ(P),08/28-12/13,WCBA 104,,,,,,,,
,,,,,,(Restrictions/Details),,,,,,,,,,,,,,,,
,,,,,,,T,07:15 pm-09:00 pm,,,,Jeannie Barrettÿ(P),09/26-09/26,TBA,,,,,,,,
,,,,,,,T,07:15 pm-09:00 pm,,,,Jeannie Barrettÿ(P),10/24-10/24,TBA,,,,,,,,
